"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"448","A","_cephalous","structure-infl","capitulescence, inflorescence","Having the number of heads (capitula) indicated by the prefix; as in monocephalous, tricephalous, polycephalous.","architecture",
"449","A","ceraceous","coating",,"Covered with wax or a wax-like substance.","coating",
"450","A","ceraceous","texture",,"Having the consistency of wax.","texture",
"451","A","cereous","coating",,"Covered with wax or a wax-like substance.","coating",
"452","A","cereous","texture",,"Having the consistency of wax.","texture",
"453","A","cernuous","orientation","stalked structure","Having the stalk proximally erect and distally recurved, the main body thus oriented outward to downward.See also pendulous (hanging, pendent).","orientation",
"454","A","cespitose","habit","plants","Growing in distinct, compact, relatively dense, turf-like aggregations.  See also clustered (gregarious).","habit",
"455","A","caespitose","habit","plants","Growing in distinct, compact, relatively dense, turf-like aggregations.  See also clustered (gregarious).","habit",
"456","N","chaff","structure",,"Collectively, the paleae (pales, palets) sometimes borne on the receptacle of a capitulum (head) in Asteraceae (Compositae).","STRUCTURE",
"457","N","chaff","structure",,"Collectively, the glumes, lemmata, and paleae of mature spikelets; in Poaceae (Gramineae).","STRUCTURE",
"458","A","chaffy","pubescence",,"Of or bearing small, thin, more or less erect, papery (chartaceous) to membranous, planate trichomes.","pubescence",
"459","A","chaffy","architecture","receptacle (torus)","Bearing paleae (pales, palets); in Asteraceae (Compositae).","architecture",
"460","N","chalaza","structure",,"The basal (proximal) portion of an ovule, adjacent to its junction with the funiculus.","STRUCTURE",
"461","N","chalazae","structure",,"The basal (proximal) portion of an ovule, adjacent to its junction with the funiculus.","STRUCTURE",
"462","N","chalazas","structure",,"The basal (proximal) portion of an ovule, adjacent to its junction with the funiculus.","STRUCTURE",
"463","N","chamber","FEATURE",,"Any structurally distinct compartment within an anther, ovary, fruit or other organ; not necessarily having any evolutionary integrity.","FEATURE",
"464","A","chambered","architecture","pith","Interrupted by cavities that are more or less regularly spaced along the axis and that result from disintegration of tissue prior to axis maturity.","architecture",
"465","N","channel","FEATURE",,"A longitudinal, transversely rounded depression; esp. along the adaxial surface of a petiole or petiolule.","FEATURE",
"466","A","channeled","shape",,"Having a longitudinal, transversely rounded depression; esp. a petiole or petiolule.","shape",
"467","A","chartaceous","texture",,"Very thin, flexible, and readily torn; like paper.  See also membranaceous (membranous), pergamentaceous (parchment-like).","texture",
"468","A","chasmogamous","reproduction","flower","Having the perianth open at anthesis, allowing deposit of pollen from other flowers (physiological receptivity aside).","reproduction",
"469","A","checkered","coloration",,"Having a pattern of more or less regularly disposed square zones of contrasting hues and/or intensities.","coloration",
"470","A","checkered","relief",,"Having a pattern of regularly disposed squares marked by raised or depressed vasculature.","relief",
"471","A","chewed","relief",,"Irregularly convoluted, as if chewed.","relief",
"472","A","choripetalous","architecture","flower, perianth, corolla","Having two or more distinct petals; having the petals unfused.","architecture",
"473","A","chorisepalous","architecture","flower, perianth, calyx","Having two or more distinct sepals; having the sepals unfused.","architecture",
"474","A","_ciliate","architecture",,"Bearing the number of cilia indicated by the prefix.","architecture",
"475","A","ciliate","shape","margin","Having fine, hair-like trichomes (cilia) oriented in the general plane of the structure.","shape",
"476","N","cilium","structure",,"A hair-like trichome or other surficial process.","STRUCTURE",
"477","N","cilia","structure",,"A hair-like trichome or other surficial process.","STRUCTURE",
"480","A","cincinnate","architecture","inflorescence","Comprising one or more cincinni.","architecture",
"481","N","cincinnus","structure-infl","inflorescence","A tightly coiled helicoid cyme (bostryx) with the nodes approximate to congested and the pedicels very short or the flowers sessile.","nominative",
"482","N","cincinni","structure-infl","inflorescence","A tightly coiled helicoid cyme (bostryx) with the nodes approximate to congested and the pedicels very short or the flowers sessile.","nominative",
"483","A","circinate","shape",,"Terete and rolled downward from the apex in a tight coil.","shape",
"484","A","circinate","vernation",,"Having each leaf (frond) rolled adaxially from the sides and downward from the apex, forming a tight, flat coil; esp. in Polypodiophyta.","vernation",
"485","A","circular","arrangement","bundle scars","Forming a circle.","shape",
"486","A","circular","shape",,"Forming a circle.",,
"#","A","circumcaulous","insertion",,"Upon and surrounding the stem.","insertion",
"487","A","circumcaulous","position",,"Upon and surrounding the stem.","position",
"488","A","circumscissile","dehiscence",,"Splitting transversely through the exterior wall about its entire circumference, the resulting upper cap-like portion falling away.","dehiscence",
"489","A","cirrhous","shape",,"Having a narrow spiral tip that is a continuation of the central primary vein.","shape",
"490","N","citrus_fruit","structure","fruit","A berry derived from a compound ovary and having a thin, firm, leathery rind (exocarp), a thicker, white, spongy wall layer (mesocarp) internal to that, and a fleshy interior (endocarp) that constitutes the bulk of the fruit and is separable into a number","nominative",
"491","N","cladode","structure",,"A stem segment that functions as a leaf; often more or less compressed.","STRUCTURE",
"492","A","cladodromous","venation",,"Having a single median primary vein that branches to either side along its length, the secondary veins running thence toward the margin, but freely ramifying and becoming indistinct before reaching it.","venation",
"493","N","cladophyll","structure",,"A stem segment that functions as a leaf; often more or less compressed.","STRUCTURE",
"494","A","clambering","habit","plant, axis","Reclining upon and spreading across other plants or objects without the aid of special holding structures or growth patterns.","orientation",
"495","A","clasping","architecture","foliaceous structure","Having two distinct basal lobes that partially or fully encircle the supporting axis.  See also connate-perfoliate, perfoliate.","shape",
"496","A","clathrate","architecture","foliaceous structure","Having portions of the blade naturally devoid of any but vascular tissue, which forms an open lattice in those areas.","architecture",
"497","A","clavate","shape",,"Elongate and basically round in transverse section, the diameter greatest at or near a blunt apex, thence attenuate toward the base, the degree of taper greatest between the middle and the upper quarter.","shape",
"498","N","claw","structure",,"The abruptly much narrower proximal portion, when present, of a laminar structure, esp. a petal; of variable shape itself, but usually attenuate toward the base.","STRUCTURE",
"499","A","clawed","shape","l","Having an abruptly much narrower proximal portion (claw or unguis), itself of variable shape but usually attenuate toward the base; esp. petals.","shape",
"502","A","cleft","shape",,"Having two or more component sectors or peripheral protrusions that are delimited by concavities in the margin or surface and that are not proximally distinct from the remainder of the whole.  The meanings of this term and its approximate synonyms sometim","shape",
"503","A","_cleft","shape",,"Having the number of lobes, divisions or segments indicated by the prefix; as in three-cleft.","shape",
"504","A","cleistogamous","reproduction","flower","Having the perianth remaining closed through anthesis, preventing deposit of pollen from other flowers, thus only self-pollination possible.","reproduction",
"505","A","climbing","habit","plant, axis","Ascending by means of special structures (e.g., tendrils) or growth patterns (e.g., twining) that enable purchase on and support by other plants or objects.","orientation",
"506","N","climbing_root","structure",,"An aerial, usually adventitious root that, by some means, serves to anchor a climbing shoot portion to the structure(s) that support(s) it above ground level.","STRUCTURE",
"507","A","climbing-rooted","architecture","plant, structure","Bearing climbing roots.","architecture",
"508","N","clinandrium","FEATURE",,"The cavity in a floral column (gynostemium) within which the anthers are borne.","FEATURE",
"509","N","clinandria","FEATURE",,"The cavity in a floral column (gynostemium) within which the anthers are borne.","FEATURE",
"510","A","close","arrangement",,"Disposed relatively near to one another.","arrangement",
"511","A","cloying","odor",,"Sickeningly sweet.","odor",
"512","A","club-shaped","shape",,"Elongate and basically round in transverse section, the diameter greatest at or near a blunt apex, thence attenuate toward the base, the degree of taper greatest between the middle and the upper quarter.","shape",
"621","N","cluster","structure-infl","inflorescence",,"group",
"513","A","clustered","arrangement",,"Disposed in one or more aggregates, the members of each inserted close together, thence widely divergent from one another.","arrangement",
"514","A","clustered","habit","plants","Growing in loose aggretations.  See also cespitose.","arrangement",
"515","A","coalescent","fusion","equivalent and/or dissimilar structures","Partially and irregularly coherent and/or adherent.","fusion",
"516","N","coating","CHARACTER",,"Exudate that covers the surface proper.  See also indumentum (vesture), pubescence.","CHARACTER",
"517","A","cobwebby","pubescence",,"Of fairly sparse, fine, white, loosely tangled, capillate trichomes.","pubescence",
"518","N","coccus","structure",,"One of the segments of a dehisced schizocarp; usually one-seeded and itself indehiscent.","STRUCTURE",
"519","N","cocci","structure",,"One of the segments of a dehisced schizocarp; usually one-seeded and itself indehiscent.","STRUCTURE",
"520","A","cochlear","aestivation",,"Imbricate with one member larger than and exterior to the others, parallel to one that is internal to all the others, strongly incurved, and enclosing the others.","aestivation",
"521","A","cochleate","shape",,"Relatively broad and short, basically round in transverse section, resembling a rapidly tapering spire overall, the exterior helically convoluted; like a snail shell.","shape",
"522","N","coenocarp","structure","fruit","Compound and derived from the connate or coherent ovaries and accessory tissue(s), if any, of two or more adjacent flowers.","nominative",
"523","A","coetaneous","maturation","dissimilar structures","Maturing concurrently.  This adjective is frequently used to mean contemporary maturation of leaves and flowers, but without actually stipulating that those are the structures involved.  Such usage is erroneous according to the construction and literal me","maturation",
"524","A","coherent","fusion","equivalent structures","Joined superficially, with no significant histological continuity.","fusion",
"525","N","coleorhiza","structure",,"A sheath-like structure enclosing the radicle (embryonic root) in an embryo; esp. in Poaceae (Gramineae).","STRUCTURE",
"526","N","collar","structure",,"The free portion (if any) of a floral tube, distal to its casing and/or neck when one or both is/are present.","STRUCTURE",
"527","N","collar","FEATURE",,"The junction between the sheath and blade of a leaf; esp. in Poaceae (Gramineae).","FEATURE",
"#","A","collateral","insertion","buds","In pairs within or immediately straddling the leaf axils, the members of a pair lateral to one another.","insertion",
"529","A","collateral","position","buds","In pairs within or immediately straddling the leaf axils, the members of a pair lateral to one another.","position",
"530","N","coloration","CHARACTER",,"Hue(s), intensity(ies), and/or pattern (if any) of coloring.  When more than one hue and/or intensity is involved, a term describing the pattern of contrast will be applicable, and the description as a whole should be phrased to indicate the particular ro","CHARACTER",
"531","A","colpate","architecture",,"Having one or more elongate, relatively  narrow and shallow depressions (colpi).","architecture",
"532","A","_colpate","architecture",,"Having the number of colpi indicated by the prefix; esp. pollen grains; as in monocolpate, polycolpate, 3-colpate.","architecture",
"533","A","_colporate","architecture","pollen grain","Having the number of colpi indicated by the prefix, each containing a pore; as in dicolporate, 3-colporate.","architecture",
"534","A","colporate","architecture","pollen grain","Having one or more elongate, relatively  narrow and shallow depressions (colpi), each containing a pore.","architecture",
"535","N","colpus","FEATURE",,"An elongate depression that is relatively shallow and narrow.","FEATURE",
"536","N","colpi","FEATURE",,"An elongate depression that is relatively shallow and narrow.","FEATURE",
"537","N","columella","structure",,"Any pedestal-like prolongation of a floral receptacle extending beyond the distalmost level of perianth insertion and bearing the gynoecium.","STRUCTURE",
"540","N","columella","structure",,"The stalk supporting a mericarp after dehiscence of a schizocarpic fruit, the central axis of the fruit having split longitudinally to yield two or four such stalks; composed of receptacular and (primarily) gynoecial tissues; esp. in Apiaceae (Umbellifera","STRUCTURE",
"541","N","columellae","structure",,"The stalk supporting a mericarp after dehiscence of a schizocarpic fruit, the central axis of the fruit having split longitudinally to yield two or four such stalks; composed of receptacular and (primarily) gynoecial tissues; esp. in Apiaceae (Umbellifera","STRUCTURE",
"542","N","columellas","structure",,"The stalk supporting a mericarp after dehiscence of a schizocarpic fruit, the central axis of the fruit having split longitudinally to yield two or four such stalks; composed of receptacular and (primarily) gynoecial tissues; esp. in Apiaceae (Umbellifera","STRUCTURE",
"543","N","column","structure",,"A central floral structure consisting of the partly to wholly fused (connate and adnate) androecium and gynoecium; esp. in Orchidaceae.","STRUCTURE",
"544","N","column","structure",,"A fused androecium (connate stamens) closely surrounding but free from the gynoecium; esp. in Malvaceae.","STRUCTURE",
"545","N","column_foot","structure",,"A lateral, often nectariferous protrusion from the proximal portion of a column, opposite the labellum, projecting in front of the rest of the flower; in Orchidaceae.","STRUCTURE",
"546","N","coma","structure",,"A prominent single tuft of relatively long and slender, flexible, capillate trichomes; esp. from a seed, as in Asclepias (Asclepiadaceae).","STRUCTURE",
"547","N","comae","structure",,"A prominent single tuft of relatively long and slender, flexible, capillate trichomes; esp. from a seed, as in Asclepias (Asclepiadaceae).","STRUCTURE",
"548","N","comas","structure",,"A prominent single tuft of relatively long and slender, flexible, capillate trichomes; esp. from a seed, as in Asclepias (Asclepiadaceae).","STRUCTURE",
"549","A","comb-shaped","shape",,"Finely divided, the divisions slender, oriented more or less perpendicular to the central axis, and resembling the teeth of a comb.","shape",
"550","N","commissure","FEATURE",,"Precisely, the joint or common boundary between the facing surfaces of two coherent or mutually appressed structures such as mericarps or stigmas, but traditionally (though imprecisely) applied to such a facing surface itself.","FEATURE",
"551","A","comose","pubescence",,"Bearing a prominent single tuft of relatively long and slender, flexible, capillate trichomes (coma).","pubescence",
"552","A","compact","architecture",,"Having equivalent constituent parts disposed very near to one another.","architecture",
"553","A","complanate","shape",,"Flattened bilaterally, parallel to the longitudinal axis, as though pressed or squeezed from opposing sides, the external surface otherwise basically convex.  This term usually implies a strong degree of flattening.  See also depressed, obcompressed.","shape",
"554","A","complete","architecture","flower","Having all sets of basic floral structures (calyx and corolla, or else undifferentiated perianth; androecium; and gynoecium) present and functionally normal.","architecture",
"555","A","complex","architecture",,"Comprising two or more basic structural entities, at least two of which are dissimilar.","architecture",
"556","A","composite","architecture",,"Unitary as a whole but comprising two or more equivalent substructural entities, these topologically distinct (e.g., leaflets in a compound leaf) or not (e.g., carpels in a compound pistil).","architecture",
"557","A","compound","architecture",,"Unitary as a whole but comprising two or more equivalent substructural entities, these topologically distinct (e.g., leaflets in a compound leaf) or not (e.g., carpels in a compound pistil).","architecture",
"558","A","compound-lipped","architecture","stomate","Having subsidiary cells derived from the primary stoma mother cell and thus immediately related ontogenetically to the guard cells.","architecture",
"559","A","compressed","shape",,"Flattened bilaterally, parallel to the longitudinal axis, as though pressed or squeezed from opposing sides, the external surface otherwise basically convex.  Used alone, this term usually implies a strong degree of flattening; otherwise, it is often used","shape",
"561","A","concave-tapered","shape",,"Gradually diminishing in width or diameter toward the proximal end, the sides longitudinally concave.  Corresponds with acuminate for apex shape.","shape",
"562","A","concentric","position",,"Having a center or axis of symmetry coincident with that of the context of reference.","position",
"563","A","concolor","coloration",,"Uniform in hue and intensity of color; esp. leaves with identically colored adaxial and abaxial surfaces.","coloration",
"564","A","concolorous","coloration",,"Uniform in hue and intensity of color; esp. leaves with identically colored adaxial and abaxial surfaces.","coloration",
"565","A","conduplicate","arrangement","cotyledons","Adaxially contiguous, folded sharply together longitudinally (one adaxially, one abaxially), and reflexed together, one enveloping the hypocotyl and radicle, the other enveloping the first.","arrangement",
"566","A","conduplicate","vernation",,"Each leaf folded sharply inward along its longitudinal axis, the adaxial surfaces of each side facing one another.","vernation",
"567","N","cone","structure",,"A compound or complex reproductive structure consisting of a central axis bearing congested imbricate sporophylls and sometimes also sterile bracts.","STRUCTURE",
"568","N","cone_scale","structure",,"One of the membranous, fleshy, or woody sporophylls of a cone (strobilus); esp. in Pinophyta.","STRUCTURE",
"570","A","cone-shaped","shape",,"Transversely round, essentially triangular in median longitudinal section, and broadest proximally.  See also obconic(al).","shape",
"571","A","congested","architecture",,"Having equivalent constituent parts disposed very near to one another.","architecture",
"573","A","conical","shape",,"Transversely round, essentially triangular in median longitudinal section, and broadest proximally.  See also obconic(al).","shape",
"574","A","conic","shape",,"Transversely round, essentially triangular in median longitudinal section, and broadest proximally.  See also obconic(al).","shape",
"576","A","conjugate","arrangement",,"Inserted by pairs, the members of each fused or not.","arrangement",
"577","A","connate","fusion","equivalent structures","Intimately fused, with strong histological continuity.","shape",
"#","A","connate-perfoliate","architecture","opposite laminar structures","Having the bases in each pair fused and together encircling the bearing axis.  See also amplexicaulous, perfoliate.","architecture",
"579","N","connective","structure",,"The tissue between and joining the laterally opposed thecae of an anther, connecting them with the distal end of the staminal filament when the latter is present.","STRUCTURE",
"580","A","connivent","arrangement",,"Converging and distally contiguous; esp. arcuate stamens with anthers contiguous.","arrangement",
"581","A","conoidal","shape",,"Generally but not strictly conic.","shape",
"582","A","conspicuous","manifestation",,"Prominently evident.","manifestation",
"583","A","contiguous","arrangement",,"Touching one another.","arrangement",
"584","A","continuous","architecture","inflorescence","Having the flowers or branch units distributed evenly along the axis, with no significant interruption.","architecture",
"585","A","continuous","architecture","pith","Uninterrupted by cavities and essentially homogeneous in texture at axis maturity.","architecture",
"586","A","continuous","architecture","rachilla, rachis","Not disarticulating at maturity.","architecture",
"587","A","contorted","aestivation",,"Imbricate and whorled, each member in turn overlapped by that to one side and overlapping that to the other, the whole tightly rolled and appearing as though twisted.","architecture",
"588","A","contorted","architecture","plant, axis","Having a helical pattern of relief and/or coloration along its length.","architecture",
"589","A","contortuplicate","aestivation",,"Plicate and contorted.","vernation","q"
"590","A","contortuplicate","vernation",,"Folded and twisted.","vernation","q"
"591","A","contractile","architecture","structure","Diminishing in length, or acquiring the potential energy for a sudden decrease, due to the generation of internal tension during tissue development.","architecture",
"592","A","convolute","aestivation",,"Imbricate and whorled, each member in turn overlapped by that to one side and overlapping that to the other, the whole tightly rolled and appearing as though twisted.","vernation","q"
"593","A","convolute","arrangement","cotyledons","Each rolled or folded inward longitudinally, one enveloping the other.","vernation","q"
"594","A","convolute","vernation",,"Each rolled laterally and wholly surrounded by and/or surrounding the one(s) next adjacent.","vernation","q"
"596","A","cordate","shape","base","Fairly regularly attenuate from a broad, bilobate base to a narrow apex, the lobes large, rounded, retrorse, and intersecting; like the stylized outline of the broad lateral face of a heart.  See also obcordate.","shape",
"597","A","cordiform","shape","base","Having two rounded basal lobes, broadest near the base and fairly regularly attenuate to an essentially angular apex; like the stylized form of a heart.  See also obcordiform.","shape",
"598","A","coriaceous","texture",,"Moderately thick, tough, and very pliable.","texture",
"599","A","corky","texture",,"Firm, relatively light, discontinuous but strongly cohesive, and resilient.","texture",
"600","N","corm","structure",,"A short, thickened, solid, usually subterranean, sometimes fleshy stem base containing stored carbohydrates and serving as a perennating organ.","STRUCTURE",
"601","A","cormose","architecture","plant","Growing from corms.","architecture",
"602","A","corneous","texture",,"Hard, dense, fine-grained or compactly fibrous, and tough; resembling the substance of animal horn.","texture",
"603","A","corniculate","shape",,"Bearing one or more cornicula (horns).","shape",
"604","N","corniculum","structure",,"A straight or curved, slenderly conic or conoidal protrusion or terminal portion that resembles an animal horn.","STRUCTURE",
"605","N","cornicula","structure",,"A straight or curved, slenderly conic or conoidal protrusion or terminal portion that resembles an animal horn.","STRUCTURE",
"606","A","corniform","shape",,"Straight or curved and slenderly conic or conoidal, like an animal horn.","shape",
"607","N","corolla","structure",,"Collectively, the petals of a flower, whether distinct or connate; the inner or distal envelope of a differentiated perianth, whether the other envelope (calyx) is actually present or is deemed to be absent due to evolutionary reduction.","STRUCTURE",
"608","N","corollae","structure",,"Collectively, the petals of a flower, whether distinct or connate; the inner or distal envelope of a differentiated perianth, whether the other envelope (calyx) is actually present or is deemed to be absent due to evolutionary reduction.","STRUCTURE",
"609","N","corollas","structure",,"Collectively, the petals of a flower, whether distinct or connate; the inner or distal envelope of a differentiated perianth, whether the other envelope (calyx) is actually present or is deemed to be absent due to evolutionary reduction.","STRUCTURE",
"610","N","corolla_tube","structure",,"A relatively narrow, fully connate portion of a sympetalous (gamopetalous) corolla proximal to a broader portion (limb) that comprises the distinct or connate distal portions of the petals; except in bisexual or staminate disc florets of Asteraceae (Compo","STRUCTURE",
"612","N","corona","structure",,"A crown-like set of connate or distinct appendages or enations borne upon a corolla or androecium or between them.","STRUCTURE",
"613","N","coronae","structure",,"A crown-like set of connate or distinct appendages or enations borne upon a corolla or androecium or between them.","STRUCTURE",
"614","N","coronas","structure",,"A crown-like set of connate or distinct appendages or enations borne upon a corolla or androecium or between them.","STRUCTURE",
"#","A","coronal","insertion",,"Upon or otherwise directly associated with the corona.","position","q"
"616","A","coronal","position",,"Upon or otherwise directly associated with the corona.","position","q"
"617","A","coroniform","shape",,"Shortly and broadly tubular overall, circumferentially continuous at the base, distally so or not; like a monarch's crown.","shape",
"618","A","corrugate","aestivation",,"Having members tightly and irregularly folded, the whole appearing as though wadded upon emergence.","aestivation","q"
"619","A","corrugate","relief",,"Having irregular, narrow ridges or creases, the intervening areas flat or only slightly concave or convex, appearing overall as though crumpled and then spread out.  See also rugulose.","aestivation","q"
"620","A","corticate","texture",,"Having a hard exterior layer and a distinct, softer interior.","texture",
"621","N","corymb","structure-infl","inflorescence","An indeterminate, more or less condensed raceme with the pedicels progressively shorter toward the distal end, the flowers all borne at approximately the same level, the whole generally plane or convex at the top, the flowers maturing from the edge inward","nominative",
"622","A","corymb-like","structure-infl","capitulescence, inflorescence","Resembling a corymb, but not strictly such.","architecture",
"623","A","corymbiform","structure-infl","capitulescence, inflorescence","Resembling a corymb, but not strictly such.","architecture",
"624","A","corymbose","architecture","inflorescence","Comprising one or more corymbs.","architecture",
"625","N","costa","structure",,"A primary vein of a laminar structure, having a longitudinal course, either medial or lateral, often prominent.  See also secondary vein, tertiary vein, veinlet.","STRUCTURE",
"626","N","costae","structure",,"A primary vein of a laminar structure, having a longitudinal course, either medial or lateral, often prominent.  See also secondary vein, tertiary vein, veinlet.","STRUCTURE",
"#","A","costal","insertion",,"Upon or otherwise directly associated with the costa(e) of a laminar structure.","position","q"
"628","A","costal","position",,"Upon or otherwise directly associated with the costa(e) of a laminar structure.","position","q"
"629","A","costate","architecture","laminar structure","Having one or more costae (ribs).","architecture",
"630","N","costule","structure",,"A longitudinal primary vein in a diminutive laminar structure, such as the blade of a leaflet, pinna or pinnule; a diminutive costa (rib).","STRUCTURE",
"631","A","cottony","pubescence",,"Of or bearing relatively long and fine, intertwined, somewhat matted, capillate trichomes.  See also lanuginose.","pubescence",
"632","N","cotyledon","structure",,"Any of the one or more primary foliar structures of an embryonic seed plant, proximal to all succeeding leaf primordia; sometimes serving as a storage organ for food reserves in the seed, as in peas and beans.","STRUCTURE",
"633","A","cotyliform","shape","perianth, calyx, corolla","Having a short, relatively broad, cupulate tube and a well differentiated, erect limb.  See also cyathiform, urceolate (urn-shaped).","shape",
"634","A","cotyloid","architecture","flower","Having general adnation among the different sets of floral structures, thus having the ovary inferior and/or having a floral tube.","architecture",
"635","N","course","CHARACTER",,"Linear pattern of the centerline through the length of an axis or vein.","CHARACTER",
"637","A","mixed-","venation",,"Having a midvein that branches to either side along the length of the lamina, the secondary veins running thence toward the margin, some becoming indistinct before reaching it, others terminating there.","venation",
"638","A","craspedodromous","venation",,"Having a midvein that branches to either side along the length of the lamina, the secondary veins and their branches all running toward and terminating at the margin.","venation",
"639","A","simple-","venation",,"Having a midvein that branches to either side along the length of the lamina, the secondary veins and their branches all running toward and terminating at the margin.","venation",
"640","A","crassate","architecture",,"Relatively thick for the type of structure or in the taxonomic context.","architecture",
"641","A","crateriform","shape",,"Having a distal, concave, relatively thin-walled, basically hemispherical portion surmounting a much narrower, transversely round, pedestal-like base.","shape",
"642","A","creeping","habit","axis","Procumbent and rooting adventitiously at intervals along its length.","orientation",
"643","N","crena","FEATURE",,"A rounded, marginal convexity or concavity in a series of such that alternate regularly and are oriented more or less perpendicular to the generalized perimeter of a laminar structure.  See also crenule (scalloplet), dens (tooth), sawtooth, sawtoothlet, t","FEATURE",
"644","N","crenae","FEATURE",,"A rounded, marginal convexity or concavity in a series of such that alternate regularly and are oriented more or less perpendicular to the generalized perimeter of a laminar structure.  See also crenule (scalloplet), dens (tooth), sawtooth, sawtoothlet, t","FEATURE",
"645","A","crenate","shape","margin","Having regularly alternating, rounded convexities and concavities oriented more or less perpendicular to the generalized perimeter.  See also crenulate (small-scalloped), dentate, denticulate (small-toothed), serrate (sawtoothed), serrulate (small-sawtoot","shape",
"646","A","_crenate","shape","margin","Having the number of orders of crenae (scallops) indicated by the prefix, one upon another; as in bicrenate, twice-crenate.  See also ...dentate (...-toothed), ...serrate (...-sawtoothed).","shape",
"647","A","crenulate","shape","margin","Finely crenate (scalloped).  See also dentate (toothed), denticulate (small-toothed), serrate (sawtoothed), serrulate (small-sawtoothed).","shape",
"648","N","crenule","FEATURE",,"A diminutive crena (scallop).  See also dens (tooth), sawtooth, sawtoothlet, toothlet.","FEATURE",
"649","A","crescent-shaped","shape",,"Arcuate, broadest at the middle, and attenuate to acute ends; like the stylized outline of a first-quarter moon.","shape",
"650","N","crest","structure",,"A laterally elongate, relatively thin, irregular or notched, apical protrusion.","STRUCTURE",
"651","A","crested","shape",,"Having a laterally elongate, relatively thin, irregular or notched protrusion.","shape",
"651","A","_crested","shape",,"Having a laterally elongate, relatively thin, irregular or notched protrusion.","shape",
"652","A","crispate","shape",,"Having closely and irregularly spaced, irregularly shaped, often compound convexities that curve irregularly through three dimensions.","shape",
"653","N","face","FEATURE",,"A relatively large, flat or shallowly curved portion of the external surface of a three-dimensional structure,  bounded by more or less distinct topological discontinuities.","FEATURE",
"#","A","_faced","shape",,"Having relatively large, flat or shallowly curved portions of the external surface that are bounded by more or less distinct angular discontinuities in that surface, of the number indicated by the prefix; as in three-faced.","shape",
"655","A","faceted","shape",,"Having numerous, relatively small, flat or shallowly curved portions of the external surface that are bounded by more or less distinct angular discontinuities in that surface.","shape",
"657","A","falcate","shape",,"Elongate, strongly compressed, and arcuate in the plane of compression, the two faces more or less plane and parallel, the degree of curvature decreasing distally or not; like a sickle blade.","shape",
"#","A","true","derivation","indusium","Constituting a marginal fold of the lamina as a whole and not a distinct enation from the epidermis.","derivation",
"659","A","fan-shaped","shape",,"Strongly compressed, broadest near the apex and attenuate to a narrow base, plaited longitudinally, the alternating folds radiating from the base, the whole basically triangular in broad aspect; like a partially expanded folding fan.","shape",
"660","N","farina","SUBSTANCE",,"A dry, meal- or flour-like covering.","SUBSTANCE",
"661","N","farinae","SUBSTANCE",,"A dry, meal- or flour-like covering.","SUBSTANCE",
"662","N","farinas","SUBSTANCE",,"A dry, meal- or flour-like covering.","SUBSTANCE",
"663","A","farinaceous","texture",,"Of minute, relatively stout trichomes that are collectively meal- or flour-like and easily detached.  See also farinose.","texture",
"664","A","farinaceous","pubescence",,"Loose, dry, and disintegrating in finely granular pieces like meal or flour.","pubescence",
"665","A","farinose","pubescence",,"Bearing minute, relatively stout trichomes, collectively meal- or flour-like (farinaceous) and easily detached.  See also farinaceous.","pubescence",
"666","A","fasciate","fusion","equivalent structures","Abnormally proliferated in size and/or number and more or less connate, the result often monstrous.","fusion",
"667","A","fasciated","fusion","equivalent structures","Abnormally proliferated in size and/or number and more or less connate, the result often monstrous.","fusion",
"668","N","fascicle","structure-infl","inflorescence","A cluster of pedicellate flowers that are inserted very close together and little if at all divergent from one another, the whole sessile or subsessile.","nominative",
"669","A","fascicled","architecture","inflorescence","Comprising one or more fascicles.","architecture","q"
"670","A","fascicled","arrangement",,"Disposed in one or more fascicles, the members of each inserted close together and only slightly if at all divergent from one another.","architecture","q"
"671","A","fasciculate","architecture","inflorescence","Comprising one or more fascicles.","architecture","q"
"671","A","fasciculate","structure-infl","inflorescence","Comprising one or more fascicles.","architecture","q"
"672","A","fasciculate","arrangement",,"Disposed in one or more fascicles, the members of each inserted close together and only slightly if at all divergent from one another.","architecture","q"
"673","A","fastigiate","arrangement","branches","Closely parallel to one another and to the axis of origin over most of their lengths.","arrangement",
"674","A","fatiscent","texture",,"Easily disintegrating in relatively small pieces, either spontaneously or under pressure.","texture",
"675","A","feather-shaped","shape",,"Having a slender central axis bearing two opposite ranks of numerous, closely proximate, ascending, very slender branches or appendages; resembling the generalized form of a feather.","shape",
"676","A","felted","pubescence",,"Of or bearing closely intertwined, capillate trichomes that form a dense, felt-like mat.","pubescence",
"677","A","female","reproduction",,"Of the sex that produces megaspores and ova.","reproduction",
"677","A","‘÷«","reproduction",,"Of the sex that produces megaspores and ova.","reproduction",
"678","N","female_cone","structure",,"A cone (strobilus) whose fertile organs are all megasporophylls.","STRUCTURE",
"679","A","feminine","reproduction",,"Of the sex that produces megaspores and ova.","reproduction",
"680","A","fenestrate","architecture","pollen grain","Having more or less isodiametric, regularly disposed lacunae.","architecture",
"681","A","fertile","reproduction","plant, reproductive structure","Producing functional spores, gametes, pollen, ovules, seeds, or other propagules.","reproduction",
"682","N","fertile_frond","structure",,"A frond that bears sporangia; in Polypodiophyta.  See also sterile frond (trophophyll).","STRUCTURE",
